item_url,pdf_url,filename,matched,download_status
http://10.2.0.84:8080/dspace/handle/123456789/6625,http://10.2.0.84:8080/dspace/bitstream/123456789/6625/1/6th%20Semester%20BBA-Leadership%20in%20Organization-BM-3102-Spring%20End%20Semester%20Examination-2017%28Regular%202014-17%20Admitted%20Batch%20%26%20Back%29.pdf,6th Semester BBA-Leadership in Organization-BM-3102-Spring End Semester Examination-2017(Regular 2014-17 Admitted Batch & Back).pdf,True,DOWNLOADED
http://10.2.0.84:8080/dspace/handle/123456789/20742,http://10.2.0.84:8080/dspace/bitstream/123456789/20742/1/Bimal%20Krushna%20Jena-Management.pdf,Bimal Krushna Jena-Management.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/10612,http://10.2.0.84:8080/dspace/bitstream/123456789/10612/1/KISS%20Betta%20Tsemato%20Ambaw.pdf,KISS Betta Tsemato Ambaw.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/16516,http://10.2.0.84:8080/dspace/bitstream/123456789/16516/1/Thesis%20of%20Kumari%20Akriti.pdf,Thesis of Kumari Akriti.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/18874,http://10.2.0.84:8080/dspace/bitstream/123456789/18874/1/1960102%20-%20SHALINI%20ROY.pdf,1960102 - SHALINI ROY.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/10032,http://10.2.0.84:8080/dspace/bitstream/123456789/10032/1/Effect%20of%20Intrinsic%20Motivation%20on%20Employee%20Retention%20of%20Indian%20Gen%20Y%20Software%20Professionals.pdf,Effect of Intrinsic Motivation on Employee Retention of Indian Gen Y Software Professionals.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/4031,http://10.2.0.84:8080/dspace/bitstream/123456789/4031/1/allam-raju-srirajkumar%282%29.pdf,allam-raju-srirajkumar(2).pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/18875,http://10.2.0.84:8080/dspace/bitstream/123456789/18875/1/1960103%20-SHARMISTHA%20SHRIVASTAVA.pdf,1960103 -SHARMISTHA SHRIVASTAVA.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/17854,http://10.2.0.84:8080/dspace/bitstream/123456789/17854/1/Introduction%20of%20newer%20strategies%20for%20the%20highest%20implementation%20of%20delayed%20umbilical%20cord%20clamping%20after%20caesarean%20birth%20%281%29%20%281%29.pdf,Introduction of newer strategies for the highest implementation of delayed umbilical cord clamping after caesarean birth (1) (1).pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/7903,http://10.2.0.84:8080/dspace/bitstream/123456789/7903/1/ROLE_OF_ETHICS_IN_SPIRITUAL_LEADERSHIP.pdf,ROLE_OF_ETHICS_IN_SPIRITUAL_LEADERSHIP.pdf,True,DOWNLOADED
http://10.2.0.84:8080/dspace/handle/123456789/18985,http://10.2.0.84:8080/dspace/bitstream/123456789/18985/1/2261043-%20PRAGYAN%20SAHOO.pdf,2261043- PRAGYAN SAHOO.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/4368,http://10.2.0.84:8080/dspace/bitstream/123456789/4368/1/Behavioral%20Aspects%20of%20ERP%20Implementation%20A%20Conceptual%20Review.pdf,Behavioral Aspects of ERP Implementation A Conceptual Review.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/17254,http://10.2.0.84:8080/dspace/bitstream/123456789/17254/1/1-Vishakha%20Singhania%20final%20Thesis%20pdf.pdf,1-Vishakha Singhania final Thesis pdf.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/5731,http://10.2.0.84:8080/dspace/bitstream/123456789/5731/1/6th%20Semester%20BBA-Leadership%20in%20Organisation-BM-3102-Spring%20End%20Semester%20Examination-2016%28Regular%202013-16%20Admitted%20Batch%20%26%20Back%29.pdf,6th Semester BBA-Leadership in Organisation-BM-3102-Spring End Semester Examination-2016(Regular 2013-16 Admitted Batch & Back).pdf,True,DOWNLOADED
http://10.2.0.84:8080/dspace/handle/123456789/18921,http://10.2.0.84:8080/dspace/bitstream/123456789/18921/1/1960132%20Subhranshu%20Acharya%20Dissertation%20Thesis%20-%20SUBHRANSHU%20ACHARYA%20%281%29.pdf,1960132 Subhranshu Acharya Dissertation Thesis - SUBHRANSHU ACHARYA (1).pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/16518,http://10.2.0.84:8080/dspace/bitstream/123456789/16518/1/Thesis%20of%20Sadhna%20Susdershana.pdf,Thesis of Sadhna Susdershana.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/18841,http://10.2.0.84:8080/dspace/bitstream/123456789/18841/1/1960072%20-%20MIMANSA%20MISHRA.pdf,1960072 - MIMANSA MISHRA.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/7947,http://10.2.0.84:8080/dspace/bitstream/123456789/7947/1/Multilevel%20Leadership%20and%20Organizational%20Effectiveness%20in%20Indian%20Technical%20Education%20The%20Mediating%20Role%20of%20Communication%2c%20Power%20And%20Culture.pdf,"Multilevel Leadership and Organizational Effectiveness in Indian Technical Education The Mediating Role of Communication, Power And Culture.pdf",True,DOWNLOADED
http://10.2.0.84:8080/dspace/handle/123456789/15232,http://10.2.0.84:8080/dspace/bitstream/123456789/15232/1/Impact%20of%20Organisational%20Commitment%20and%20Job%20Satisfaction.pdf,Impact of Organisational Commitment and Job Satisfaction.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/17817,http://10.2.0.84:8080/dspace/bitstream/123456789/17817/1/Public%20Leadership%20during%20the%20COVID-19%20Pandemic%20Can%20Leadership%20Theories%20Explain%20It.pdf,Public Leadership during the COVID-19 Pandemic Can Leadership Theories Explain It.pdf,True,DOWNLOADED
http://10.2.0.84:8080/dspace/handle/123456789/20772,http://10.2.0.84:8080/dspace/bitstream/123456789/20772/1/Thesis%20of%20Pramod%20Kumar%20Misra.pdf,Thesis of Pramod Kumar Misra.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/16482,http://10.2.0.84:8080/dspace/bitstream/123456789/16482/1/33-Final%20thesis%20PBN-30.4.2022-Revised-1.1-GM-4.pdf,33-Final thesis PBN-30.4.2022-Revised-1.1-GM-4.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/15317,http://10.2.0.84:8080/dspace/bitstream/123456789/15317/1/Leadership%20Lessons%20%20from%20a%20Sinking%20Ship.pdf,Leadership Lessons  from a Sinking Ship.pdf,True,DOWNLOADED
http://10.2.0.84:8080/dspace/handle/123456789/20882,http://10.2.0.84:8080/dspace/bitstream/123456789/20882/1/Namita%20Priya.pdf,Namita Priya.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/10600,http://10.2.0.84:8080/dspace/bitstream/123456789/10600/1/Management%20Yashaswini%20Mishra.pdf,Management Yashaswini Mishra.pdf,False,SKIPPED
http://10.2.0.84:8080/dspace/handle/123456789/3442,http://10.2.0.84:8080/dspace/bitstream/123456789/3442/1/Basanta%20Kumar%20Behera%20%285%29.pdf,Basanta Kumar Behera (5).pdf,False,SKIPPED
